,wind_dir_10m:d,wind_dir_100m:d,wind_speed_10m:ms,wind_speed_100m:ms,air_density_100m:kgm3,timestamp,timestamp_chicago,wind_gusts_100m_1h:ms,wind_gusts_10m_1h:ms
0,161.1,163.0,6.8,12.7,1.084,2023-10-01 00:00:00+00:00,2023-09-30 19:00:00-05:00,19.0,14.4
1,161.2,162.9,6.1,13.0,1.084,2023-10-01 00:15:00+00:00,2023-09-30 19:15:00-05:00,19.0,14.4
2,161.3,162.9,6.0,13.3,1.084,2023-10-01 00:30:00+00:00,2023-09-30 19:30:00-05:00,19.0,14.4
3,161.4,162.9,5.5,13.5,1.084,2023-10-01 00:45:00+00:00,2023-09-30 19:45:00-05:00,19.0,14.4
4,161.4,162.8,5.0,13.8,1.084,2023-10-01 01:00:00+00:00,2023-09-30 20:00:00-05:00,20.5,11.5
5,164.6,166.0,5.1,13.7,1.084,2023-10-01 01:15:00+00:00,2023-09-30 20:15:00-05:00,20.5,11.5
6,167.9,169.2,5.2,13.7,1.085,2023-10-01 01:30:00+00:00,2023-09-30 20:30:00-05:00,20.5,11.5
7,171.2,172.4,5.3,13.6,1.086,2023-10-01 01:45:00+00:00,2023-09-30 20:45:00-05:00,20.5,11.5
8,174.5,175.6,5.4,13.6,1.087,2023-10-01 02:00:00+00:00,2023-09-30 21:00:00-05:00,20.7,18.8
9,173.7,175.0,5.4,13.5,1.087,2023-10-01 02:15:00+00:00,2023-09-30 21:15:00-05:00,20.7,18.8
10,172.9,174.4,6.1,13.4,1.088,2023-10-01 02:30:00+00:00,2023-09-30 21:30:00-05:00,20.7,18.8
11,172.1,173.8,6.3,13.4,1.089,2023-10-01 02:45:00+00:00,2023-09-30 21:45:00-05:00,20.7,18.8
12,171.3,173.2,6.4,13.3,1.09,2023-10-01 03:00:00+00:00,2023-09-30 22:00:00-05:00,20.7,18.8
13,172.0,173.8,6.8,13.3,1.091,2023-10-01 03:15:00+00:00,2023-09-30 22:15:00-05:00,20.7,18.8
14,172.8,174.3,7.2,13.2,1.091,2023-10-01 03:30:00+00:00,2023-09-30 22:30:00-05:00,20.7,18.8
15,173.5,174.8,7.4,13.2,1.092,2023-10-01 03:45:00+00:00,2023-09-30 22:45:00-05:00,20.7,18.8
16,174.3,175.3,7.7,13.2,1.093,2023-10-01 04:00:00+00:00,2023-09-30 23:00:00-05:00,20.9,18.9
17,173.7,174.8,8.4,13.1,1.093,2023-10-01 04:15:00+00:00,2023-09-30 23:15:00-05:00,20.9,18.9
18,173.2,174.3,7.7,13.1,1.093,2023-10-01 04:30:00+00:00,2023-09-30 23:30:00-05:00,20.9,18.9
19,172.6,173.7,7.9,13.0,1.094,2023-10-01 04:45:00+00:00,2023-09-30 23:45:00-05:00,20.9,18.9
20,172.0,173.2,8.4,13.0,1.094,2023-10-01 05:00:00+00:00,2023-10-01 00:00:00-05:00,20.9,18.9
21,172.9,174.2,8.3,12.8,1.094,2023-10-01 05:15:00+00:00,2023-10-01 00:15:00-05:00,20.9,18.9
22,173.8,175.2,7.6,12.7,1.095,2023-10-01 05:30:00+00:00,2023-10-01 00:30:00-05:00,20.9,18.9
23,174.7,176.3,7.3,12.6,1.095,2023-10-01 05:45:00+00:00,2023-10-01 00:45:00-05:00,20.9,18.9
24,175.7,177.3,7.3,12.5,1.096,2023-10-01 06:00:00+00:00,2023-10-01 01:00:00-05:00,20.4,18.6
25,176.4,178.0,7.3,12.5,1.096,2023-10-01 06:15:00+00:00,2023-10-01 01:15:00-05:00,20.4,18.6
26,177.2,178.8,7.3,12.4,1.097,2023-10-01 06:30:00+00:00,2023-10-01 01:30:00-05:00,20.4,18.6
27,178.0,179.5,6.9,12.4,1.097,2023-10-01 06:45:00+00:00,2023-10-01 01:45:00-05:00,20.4,18.6
28,178.7,180.2,6.7,12.4,1.097,2023-10-01 07:00:00+00:00,2023-10-01 02:00:00-05:00,19.7,17.9
29,178.0,179.6,7.3,12.1,1.098,2023-10-01 07:15:00+00:00,2023-10-01 02:15:00-05:00,19.7,17.9
30,177.2,179.0,7.3,11.9,1.098,2023-10-01 07:30:00+00:00,2023-10-01 02:30:00-05:00,19.7,17.9
31,176.3,178.4,7.2,11.7,1.099,2023-10-01 07:45:00+00:00,2023-10-01 02:45:00-05:00,19.7,17.9
32,175.5,177.8,7.2,11.5,1.1,2023-10-01 08:00:00+00:00,2023-10-01 03:00:00-05:00,18.4,16.5
33,173.7,176.1,7.2,11.3,1.101,2023-10-01 08:15:00+00:00,2023-10-01 03:15:00-05:00,18.4,16.5
34,171.8,174.5,6.4,11.2,1.102,2023-10-01 08:30:00+00:00,2023-10-01 03:30:00-05:00,18.4,16.5
35,169.9,172.8,6.1,11.1,1.103,2023-10-01 08:45:00+00:00,2023-10-01 03:45:00-05:00,18.4,16.5
36,167.9,171.1,5.8,10.9,1.104,2023-10-01 09:00:00+00:00,2023-10-01 04:00:00-05:00,17.3,15.6
37,169.1,171.9,5.2,11.1,1.104,2023-10-01 09:15:00+00:00,2023-10-01 04:15:00-05:00,17.3,15.6
38,170.3,172.8,4.5,11.3,1.105,2023-10-01 09:30:00+00:00,2023-10-01 04:30:00-05:00,17.3,15.6
39,171.5,173.7,4.3,11.5,1.106,2023-10-01 09:45:00+00:00,2023-10-01 04:45:00-05:00,17.3,15.6
40,172.5,174.5,3.8,11.7,1.106,2023-10-01 10:00:00+00:00,2023-10-01 05:00:00-05:00,17.4,15.7
41,173.5,175.4,2.5,11.8,1.107,2023-10-01 10:15:00+00:00,2023-10-01 05:15:00-05:00,17.4,15.7
42,174.4,176.3,3.2,11.8,1.107,2023-10-01 10:30:00+00:00,2023-10-01 05:30:00-05:00,17.4,15.7
43,175.3,177.3,4.9,11.8,1.107,2023-10-01 10:45:00+00:00,2023-10-01 05:45:00-05:00,17.4,15.7
44,176.2,178.2,6.1,11.9,1.107,2023-10-01 11:00:00+00:00,2023-10-01 06:00:00-05:00,18.4,12.5
45,176.8,178.9,5.4,11.8,1.108,2023-10-01 11:15:00+00:00,2023-10-01 06:15:00-05:00,18.4,12.5
46,177.5,179.6,4.8,11.8,1.108,2023-10-01 11:30:00+00:00,2023-10-01 06:30:00-05:00,18.4,12.5
47,178.2,180.4,4.6,11.8,1.108,2023-10-01 11:45:00+00:00,2023-10-01 06:45:00-05:00,18.4,12.5
